WithdrawalHistory(WH),RepeatHistory(RH),MaritalStatus(MS),Gender(GND),Age,District(DSRCT),Religion(RLGN),StudentType(ST),ProgrammeCode(PC),EmploymentStatus(ES),ODLCenter(OC),DisabilityIndicator(DI),Vulnarability(VNBLT),IncomeSource(IS),CurrentResidence(CR),Target
No,No,SINGLE,M,0,Ntcheu,,MATURE,BABM,Not Employed,,,,,,Not Dropped
No,No,SINGLE,M,0,Blantyre,,MATURE,BAAE,Not Employed,,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,SINGLE,M,0,Kasungu,,MATURE,BABM,Not Employed,,,,,,Not Dropped
No,No,SINGLE,M,0,Kasungu,,MATURE,BAGI,Not Employed,,Learning difficulty,Orphans,parents/Gurdian,I stay within same district,Not Dropped
No,No,SINGLE,M,0,Mzimba,,MATURE,BAAE,Not Employed,,No disability,Not Applicable,parents/Gurdian,I stay within same district,Not Dropped
No,No,SINGLE,M,0,Lilongwe,,MATURE,BEXT,Not Employed,,,,,,Not Dropped
No,No,SINGLE,M,0,Kasungu,,MATURE,BEXT,Not Employed,,,,,,Not Dropped
No,No,SINGLE,M,0,Mzimba,,MATURE,BEXT,Not Employed,,,,,,Not Dropped
No,No,SINGLE,M,0,Kasungu,,MATURE,BABM,Not Employed,,No disability,Not Applicable,parents/Gurdian,I stay around the centre,Not Dropped
No,No,SINGLE,M,0,Thyolo,,MATURE,BABM,Not Employed,,No disability,Not Applicable,parents/Gurdian,I stay around the centre,Not Dropped
No,No,SINGLE,M,0,Lilongwe,,MATURE,BABM,Not Employed,,No disability,Not Applicable,parents/Gurdian,I stay within same district,Not Dropped
No,No,SINGLE,M,0,Salima,,MATURE,BABM,Not Employed,,No disability,Not Applicable,parents/Gurdian,I stay around the centre,Not Dropped
No,No,SINGLE,M,0,Nkhotakota,,MATURE,BEXT,Not Employed,,,,,,Not Dropped
No,No,SINGLE,M,0,NKHATA-BAY,,MATURE,BAAE,Not Employed,,,,,,Not Dropped
No,No,SINGLE,M,0,Nsanje,,MATURE,BABM,Not Employed,,,,,,Not Dropped
No,No,SINGLE,M,0,Mzimba,,MATURE,BAGI,Not Employed,,No disability,Not Applicable,parents/Gurdian,I stay around the centre,Not Dropped
No,No,SINGLE,M,0,Salima,,MATURE,BABM,Not Employed,,,,,,Not Dropped
No,No,SINGLE,M,0,Ntcheu,,MATURE,BAAE,Not Employed,,No disability,Not Applicable,parents/Gurdian,I stay within same district,Not Dropped
No,No,SINGLE,M,0,Karonga,,MATURE,BAAE,Not Employed,,,,,,Not Dropped
No,No,SINGLE,M,0,NKHATA-BAY,,MATURE,BABM,Not Employed,,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,SINGLE,M,0,Ntchisi,,MATURE,BAGI,Not Employed,,,,,,Not Dropped
No,No,SINGLE,M,0,Ntcheu,,MATURE,BABM,Not Employed,,No disability,Not Applicable,parents/Gurdian,I stay within same district,Not Dropped
No,No,SINGLE,M,28,KARONGA,,GENERIC,BAAE,Self,MZUZU,,,,,Dropped
No,No,SINGLE,M,0,NENO,Christian,MATURE,BABM,Self,LILONGWE,,,,,Not Dropped
No,No,SINGLE,M,27,DEDZA,,GENERIC,BAAE,Self,LILONGWE,No disability,Not Applicable,parents/Gurdian,I stay within same district,Not Dropped
No,No,SINGLE,M,25,CHIKWAWA,,GENERIC,BEXT,Self,LILONGWE,No disability,Not Applicable,parents/Gurdian,I stay within same district,Not Dropped
No,No,SINGLE,M,25,CHITIPA,,GENERIC,BAAE,Self,LILONGWE,No disability,Orphans,parents/Gurdian,I stay within same district,Not Dropped
No,No,SINGLE,M,32,NTCHEU,,GENERIC,BAAE,Self,BLANTYRE,,,,,Not Dropped
No,No,SINGLE,M,30,MULANJE,,GENERIC,BABM,Self,MZUZU,,,,,Dropped
No,No,SINGLE,M,32,KARONGA,,MATURE,BABM,Self,LILONGWE,,,,,Not Dropped
No,No,SINGLE,M,28,NKHATA-BAY,,MATURE,BABM,Self,MZUZU,,,,,Not Dropped
No,No,SINGLE,M,28,KASUNGU,,GENERIC,BEXT,Self,LILONGWE,,,,,Not Dropped
No,No,SINGLE,M,24,KARONGA,,GENERIC,BAAE,Self,BLANTYRE,,,,,Not Dropped
No,No,SINGLE,M,28,BALAKA,,MATURE,BEXT,Self,LILONGWE,,,,,Not Dropped
No,No,SINGLE,M,32,RUMPHI,Christian,MATURE,BEXT,Self,LILONGWE,,,,,Dropped
No,No,SINGLE,M,29,NTCHEU,Christian,MATURE,BABM,Self,LILONGWE,,,,,Dropped
No,No,SINGLE,M,33,KASUNGU,Christian,MATURE,BEXT,Self,LILONGWE,,,,,Dropped
No,No,SINGLE,M,28,KASUNGU,,GENERIC,BABM,Self,LILONGWE,,,,,Not Dropped
No,No,SINGLE,M,28,KARONGA,Christian,GENERIC,BAAE,Self,LILONGWE,,,,,Not Dropped
No,No,SINGLE,M,29,NKHOTAKOTA,,GENERIC,BAAE,Self,LILONGWE,,,,,Dropped
No,No,SINGLE,M,27,ZOMBA,,GENERIC,BAAE,Self,LILONGWE,,,,,Not Dropped
No,No,SINGLE,M,23,MACHINGA,,GENERIC,BAAE,Self,LILONGWE,,,,,Dropped
No,No,SINGLE,M,23,MACHINGA,,GENERIC,BAAE,Self,BLANTYRE,No disability,Not Applicable,parents/Gurdian,I stay around the centre,Not Dropped
No,No,SINGLE,M,23,MCHINJI,,GENERIC,BABM,Self,LILONGWE,,,,,Not Dropped
No,No,SINGLE,M,29,BALAKA,,GENERIC,BABM,Self,BLANTYRE,,,,,Not Dropped
No,No,SINGLE,M,25,DEDZA,,GENERIC,BABM,Self,LILONGWE,No disability,Not Applicable,parents/Gurdian,I stay around the centre,Not Dropped
No,No,SINGLE,M,27,BALAKA,,MATURE,BEXT,Self,LILONGWE,,,,,Not Dropped
No,No,SINGLE,M,27,MZIMBA,,MATURE,BEXT,Self,LILONGWE,,,,,Not Dropped
No,No,SINGLE,M,26,NSANJE,,MATURE,BEXT,Self,BLANTYRE,,,,,Not Dropped
No,No,SINGLE,M,28,MACHINGA,,MATURE,BEXT,Self,BLANTYRE,,,,,Not Dropped
No,No,SINGLE,M,25,BALAKA,,GENERIC,BAAE,Self,,,,,,Not Dropped
No,No,SINGLE,M,26,KASUNGU,,GENERIC,BAAE,Self,,No disability,Not Applicable,parents/Gurdian,I stay within same district,Not Dropped
No,No,SINGLE,M,28,RUMPHI,,GENERIC,BAAE,Self,,,,,,Not Dropped
No,No,SINGLE,M,26,PHALOMBE,,GENERIC,BAAE,Self,,,,,,Not Dropped
No,No,SINGLE,M,26,DEDZA,,GENERIC,BAAE,Self,,,,,,Not Dropped
No,No,SINGLE,M,25,KARONGA,,GENERIC,BABM,Self,,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,SINGLE,M,25,NKHOTAKOTA,,GENERIC,BEXT,Self,,,,,,Not Dropped
No,No,SINGLE,M,26,MZIMBA,,MATURE,BAAE,Self,,,,,,Dropped
No,No,SINGLE,M,27,KARONGA,,MATURE,BAAE,Self,,No disability,Not Applicable,parents/Gurdian,I stay within same district,Not Dropped
No,No,SINGLE,M,27,THYOLO,,MATURE,BAAE,Self,LILONGWE,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,SINGLE,M,25,KASUNGU,,MATURE,BAAE,Self,LILONGWE,,,,,Not Dropped
No,No,SINGLE,M,33,DEDZA,,MATURE,BABM,Self,,,,,,Not Dropped
No,No,SINGLE,M,33,NTCHEU,,MATURE,BEXT,Self,,,,,,Not Dropped
No,No,SINGLE,M,27,KASUNGU,,MATURE,BAAE,Self,LILONGWE,,,,,Not Dropped
No,No,SINGLE,M,26,DEDZA,,GENERIC,BEXT,Self,LILONGWE,No disability,Not Applicable,self,I stay around the centre,Not Dropped
No,No,SINGLE,M,25,THYOLO,,GENERIC,BABM,Self,BLANTYRE,,,,,Not Dropped
No,No,SINGLE,M,26,SALIMA,,GENERIC,BABM,Self,LILONGWE,,,,,Dropped
No,No,SINGLE,M,24,PHALOMBE,,GENERIC,BAAE,Self,MZUZU,No disability,"Qualified primary school teachers, teaching at CDSS",parents/Gurdian,I stay around the centre,Not Dropped
No,No,SINGLE,M,25,NKHATA-BAY,,GENERIC,BEXT,Self,MZUZU,No disability,Not Applicable,parents/Gurdian,I stay around the centre,Not Dropped
No,No,SINGLE,M,28,MULANJE,,MATURE,BABM,Self,BLANTYRE,,,,,Not Dropped
No,No,SINGLE,M,30,ZOMBA,,MATURE,BAAE,Self,LILONGWE,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,SINGLE,M,23,NTCHEU,,MATURE,BAAE,Self,LILONGWE,,,,,Not Dropped
No,No,SINGLE,M,32,MACHINGA,,MATURE,BEXT,Self,MZUZU,No disability,Orphans,self,I stay within same district,Not Dropped
No,No,SINGLE,M,29,RUMPHI,,MATURE,BABM,Self,LILONGWE,No disability,Not Applicable,parents/Gurdian,I stay within same district,Not Dropped
No,No,SINGLE,M,0,,,GENERIC,BAAE,Self,,,,,,Not Dropped
No,No,SINGLE,M,0,,,MATURE,BAAE,Self,,,,,,Not Dropped
No,No,SINGLE,M,0,,,MATURE,BEXT,Self,,No disability,Not Applicable,parents/Gurdian,I stay within same district,Not Dropped
No,No,SINGLE,M,0,CHILADZULU,,MATURE,BABM,Self,,,,,,Not Dropped
No,No,SINGLE,M,0,Karonga,,MATURE,BAAE,Self,,,,,,Not Dropped
No,No,SINGLE,M,0,Dedza,,MATURE,BEXT,Self,,,,,,Not Dropped
No,No,SINGLE,M,0,Ntchisi,,GENERIC,BAGI,Self,,No disability,Not Applicable,parents/Gurdian,I stay within same district,Not Dropped
No,No,SINGLE,M,0,Balaka,,GENERIC,BAAE,Self,,No disability,Not Applicable,parents/Gurdian,I stay around the centre,Not Dropped
No,No,SINGLE,M,0,Chitipa,,GENERIC,BAAE,Self,,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,SINGLE,M,0,Mangochi,,GENERIC,BEXT,Self,,,,,,Not Dropped
No,No,SINGLE,M,0,Zomba,,GENERIC,BEXT,Self,,,,,,Not Dropped
No,No,SINGLE,M,0,Salima,,MATURE,BABM,Self,,,,,,Not Dropped
No,No,SINGLE,M,0,NKHATA-BAY,,MATURE,BAGI,Self,,,,,,Not Dropped
No,No,SINGLE,M,0,Mchinji,,MATURE,BAGI,Self,,,,,,Not Dropped
No,No,SINGLE,M,0,Karonga,,MATURE,BAAE,Self,,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,SINGLE,M,0,Nkhotakota,,MATURE,BAAE,Self,,,,,,Not Dropped
No,No,SINGLE,M,0,Mchinji,,MATURE,BEXT,Self,,,,,,Not Dropped
No,No,SINGLE,M,0,Zomba,,MATURE,BAAE,Self,,,,,,Not Dropped
No,No,SINGLE,M,0,Kasungu,,MATURE,BABM,Self,,,,,,Not Dropped
No,No,SINGLE,M,0,Zomba,,MATURE,BAGI,Self,,,,,,Not Dropped
No,No,SINGLE,M,0,Ntcheu,,MATURE,BAGI,Self,,,,,,Not Dropped
No,No,SINGLE,M,0,Dowa,,MATURE,BABM,Self,,No disability,Not Applicable,parents/Gurdian,I stay within same district,Not Dropped
No,No,SINGLE,M,0,Mzimba,,MATURE,BAGI,Self,,No disability,Adolecent Girls & Young Women (AGYM),parents/Gurdian,I stay around the centre,Not Dropped
No,No,SINGLE,M,0,Kasungu,,MATURE,BEXT,Self,,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,SINGLE,M,0,Lilongwe,,MATURE,BABM,Self,,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,SINGLE,M,0,Lilongwe,,MATURE,BABM,Self,,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,MARRIED,M,41,CHIKWAWA,,GENERIC,BAAE,Employed,BLANTYRE,,,,,Not Dropped
No,No,MARRIED,M,34,SALIMA,Christian,MATURE,BAAE,Employed,MZUZU,,,,,Not Dropped
No,No,MARRIED,M,42,KASUNGU,Christian,GENERIC,BEXT,Employed,LILONGWE,,,,,Not Dropped
No,No,MARRIED,M,36,LILONGWE,,MATURE,BAAE,Employed,BLANTYRE,,,,,Not Dropped
No,No,MARRIED,M,48,MZIMBA,,MATURE,BEXT,Employed,MZUZU,,,,,Not Dropped
No,No,MARRIED,M,35,ZOMBA,,MATURE,BABM,Employed,BLANTYRE,,,,,Not Dropped
No,No,MARRIED,M,45,LILONGWE,,GENERIC,BABM,Employed,LILONGWE,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,MARRIED,M,36,MZIMBA,,MATURE,BAAE,Employed,BLANTYRE,,,,,Not Dropped
No,No,MARRIED,M,42,KASUNGU,,GENERIC,BABM,Employed,LILONGWE,,,,,Not Dropped
No,No,MARRIED,M,44,KARONGA,christian,GENERIC,BAAE,Employed,LILONGWE,,,,,Not Dropped
No,No,MARRIED,M,35,THYOLO,Christian,MATURE,BAAE,Employed,BLANTYRE,,,,,Dropped
No,No,MARRIED,M,50,MULANJE,,MATURE,BEXT,Employed,BLANTYRE,,,,,Dropped
No,No,MARRIED,M,37,MANGOCHI,Christian,GENERIC,BAAE,Employed,LILONGWE,,,,,Not Dropped
No,No,MARRIED,M,50,NKHATA-BAY,Christian,MATURE,BABM,Employed,MZUZU,,,,,Dropped
No,No,MARRIED,M,43,LILONGWE,,GENERIC,BABM,Employed,LILONGWE,,,,,Not Dropped
No,No,MARRIED,M,51,BLANTYRE,Christian,MATURE,BEXT,Employed,BLANTYRE,,,,,Dropped
No,No,MARRIED,M,35,LILONGWE,,GENERIC,BABM,Employed,LILONGWE,,,,,Not Dropped
No,No,MARRIED,M,33,NTCHISI,,MATURE,BABM,Employed,LILONGWE,,,,,Not Dropped
No,No,MARRIED,M,37,CHITIPA,,GENERIC,BEXT,Employed,LILONGWE,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,MARRIED,M,33,KASUNGU,,GENERIC,BABM,Employed,LILONGWE,,,,,Not Dropped
No,No,MARRIED,M,37,NTCHEU,,GENERIC,BEXT,Employed,LILONGWE,,,,,Not Dropped
No,No,MARRIED,M,42,MZIMBA,,MATURE,BEXT,Employed,LILONGWE,,,,,Not Dropped
No,No,MARRIED,M,39,KASUNGU,,MATURE,BEXT,Employed,LILONGWE,,,,,Not Dropped
No,No,MARRIED,M,41,KARONGA,,MATURE,BABM,Employed,MZUZU,,,,,Not Dropped
No,No,MARRIED,M,34,NSANJE,,MATURE,BABM,Employed,LILONGWE,,,,,Not Dropped
No,No,MARRIED,M,34,BLANTYRE,,MATURE,BEXT,Employed,BLANTYRE,,,,,Not Dropped
No,No,MARRIED,M,34,NTCHEU,,MATURE,BEXT,Employed,LILONGWE,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,MARRIED,M,32,ZOMBA,,MATURE,BABM,Employed,LILONGWE,,,,,Not Dropped
No,No,MARRIED,M,46,NENO,,MATURE,BAAE,Employed,LILONGWE,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,MARRIED,M,38,PHALOMBE,,MATURE,BEXT,Employed,BLANTYRE,,,,,Not Dropped
No,No,MARRIED,M,37,MWANZA,,MATURE,BAAE,Employed,,,,,,Not Dropped
No,No,MARRIED,M,47,MZIMBA,,MATURE,BABM,Employed,,No disability,Not Applicable,self,I stay around the centre,Not Dropped
No,No,MARRIED,M,40,CHITIPA,,MATURE,BABM,Employed,,,,,,Dropped
No,No,MARRIED,M,38,KARONGA,,MATURE,BAGI,Employed,,,,,,Not Dropped
No,No,MARRIED,M,36,RUMPHI,,MATURE,BAGI,Employed,,,,,,Not Dropped
No,No,MARRIED,M,34,PHALOMBE,,MATURE,BEXT,Employed,,,,,,Not Dropped
No,No,MARRIED,M,35,KARONGA,,GENERIC,BAAE,Employed,,No disability,"Qualified primary school teachers, teaching at CDSS",self,I stay around the centre,Not Dropped
No,No,MARRIED,M,31,CHILADZULU,,GENERIC,BAAE,Employed,,,,,,Not Dropped
No,No,MARRIED,M,30,NTCHEU,,GENERIC,BAAE,Employed,,No disability,Not Applicable,self,I stay around the centre,Not Dropped
No,No,MARRIED,M,31,SALIMA,,GENERIC,BEXT,Employed,LILONGWE,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,MARRIED,M,43,MZIMBA,,MATURE,BAAE,Employed,,,,,,Not Dropped
No,No,MARRIED,M,32,ZOMBA,,MATURE,BABM,Employed,,,,,,Not Dropped
No,No,MARRIED,M,39,KARONGA,,MATURE,BABM,Employed,,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,MARRIED,M,33,RUMPHI,,MATURE,BAGI,Employed,,,,,,Not Dropped
No,No,MARRIED,M,32,ZOMBA,,MATURE,BAGI,Employed,,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,MARRIED,M,30,ZOMBA,,MATURE,BEXT,Employed,,,,,,Not Dropped
No,No,MARRIED,M,37,CHIKWAWA,,MATURE,BEXT,Employed,,,,,,Not Dropped
No,No,MARRIED,M,29,KASUNGU,,GENERIC,BABM,Employed,LILONGWE,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,MARRIED,M,35,NTCHISI,,GENERIC,BAAE,Employed,LILONGWE,No disability,"Qualified primary school teachers, teaching at CDSS",self,I stay within same district,Not Dropped
No,No,MARRIED,M,36,CHIKWAWA,,GENERIC,BAAE,Employed,BLANTYRE,,,,,Not Dropped
No,No,MARRIED,M,36,MANGOCHI,,MATURE,BABM,Employed,LILONGWE,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,MARRIED,M,37,BLANTYRE,,MATURE,BAAE,Employed,BLANTYRE,,,,,Not Dropped
No,No,MARRIED,M,33,MULANJE,,MATURE,BABM,Employed,LILONGWE,,,,,Not Dropped
No,No,MARRIED,M,30,KASUNGU,,MATURE,BABM,Employed,LILONGWE,,,,,Not Dropped
No,No,MARRIED,M,35,PHALOMBE,,MATURE,BEXT,Employed,BLANTYRE,,,,,Not Dropped
No,No,MARRIED,M,39,THYOLO,,MATURE,BAAE,Employed,LILONGWE,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,MARRIED,M,36,RUMPHI,,MATURE,BABM,Employed,MZUZU,,,,,Not Dropped
No,No,MARRIED,M,48,LILONGWE,,MATURE,BABM,Employed,LILONGWE,No disability,Not Applicable,self,I stay around the centre,Not Dropped
No,No,MARRIED,M,45,DOWA,,MATURE,BAAE,Employed,BLANTYRE,,,,,Not Dropped
No,No,MARRIED,M,39,NSANJE,,MATURE,BEXT,Employed,BLANTYRE,,,,,Not Dropped
No,No,MARRIED,M,36,MZIMBA,,MATURE,BEXT,Employed,LILONGWE,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,MARRIED,M,42,LILONGWE,,MATURE,BEXT,Employed,BLANTYRE,,,,,Not Dropped
No,No,MARRIED,M,41,MULANJE,,MATURE,BEXT,Employed,BLANTYRE,,,,,Not Dropped
No,No,MARRIED,M,36,BLANTYRE,,MATURE,BAAE,Employed,BLANTYRE,,,,,Not Dropped
No,No,MARRIED,M,39,SALIMA,,MATURE,BABM,Employed,BLANTYRE,No disability,Not Applicable,self,I stay around the centre,Not Dropped
No,No,MARRIED,M,30,DOWA,,MATURE,BAAE,Employed,BLANTYRE,,,,,Not Dropped
No,No,MARRIED,M,38,MULANJE,,MATURE,BEXT,Employed,LILONGWE,,,,,Not Dropped
No,No,MARRIED,M,37,MANGOCHI,,MATURE,BAAE,Employed,BLANTYRE,,,,,Not Dropped
No,No,MARRIED,M,35,NTCHEU,,MATURE,BEXT,Employed,MZUZU,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,MARRIED,M,45,MZIMBA,,MATURE,BABM,Employed,MZUZU,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,MARRIED,M,38,DEDZA,,MATURE,BEXT,Employed,LILONGWE,,,,,Not Dropped
No,No,MARRIED,M,35,BALAKA,,MATURE,BAAE,Employed,BLANTYRE,,,,,Not Dropped
No,No,MARRIED,M,37,MCHINJI,,MATURE,BEXT,Employed,BLANTYRE,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,MARRIED,M,34,MZIMBA,,MATURE,BABM,Employed,MZUZU,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,MARRIED,M,34,DEDZA,,MATURE,BEXT,Employed,LILONGWE,,,,,Not Dropped
No,No,MARRIED,M,31,MANGOCHI,,MATURE,BABM,Employed,LILONGWE,,,,,Not Dropped
No,No,MARRIED,M,0,DOWA,,MATURE,BEXT,Employed,MZUZU,No disability,Not Applicable,self,I stay around the centre,Not Dropped
No,No,MARRIED,M,37,NTCHEU,,MATURE,BEXT,Employed,LILONGWE,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,MARRIED,M,33,DOWA,,MATURE,BAAE,Employed,LILONGWE,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,MARRIED,M,0,Lilongwe,,,BEXT,Employed,,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,MARRIED,M,35,Mzimba,,MATURE,BEXT,Employed,,No disability,Not Applicable,self,I stay around the centre,Not Dropped
No,No,MARRIED,M,0,,,MATURE,BAAE,Employed,,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,MARRIED,M,0,,,MATURE,BAAE,Employed,,,,,,Not Dropped
No,No,MARRIED,M,0,,,MATURE,BABM,Employed,,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,MARRIED,M,0,,,MATURE,BABM,Employed,,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,MARRIED,M,0,,,MATURE,BABM,Employed,,,,,,Not Dropped
No,No,MARRIED,M,0,,,MATURE,BABM,Employed,,,,,,Not Dropped
No,No,MARRIED,M,0,,,MATURE,BAGI,Employed,,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,MARRIED,M,0,,,MATURE,BEXT,Employed,,,,,,Not Dropped
No,No,MARRIED,M,0,,,MATURE,BEXT,Employed,,,,,,Not Dropped
No,No,MARRIED,M,0,,,MATURE,BEXT,Employed,,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,MARRIED,M,0,,,MATURE,BEXT,Employed,,,,,,Not Dropped
No,No,MARRIED,M,0,,,MATURE,BEXT,Employed,,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,MARRIED,M,0,,,MATURE,BEXT,Employed,,,,,,Not Dropped
No,No,MARRIED,M,0,,,MATURE,BEXT,Employed,,,,,,Not Dropped
No,No,MARRIED,M,0,,,MATURE,BEXT,Employed,,,,,,Not Dropped
No,No,MARRIED,M,0,Phalombe,,MATURE,BEXT,Employed,,,,,,Not Dropped
No,No,MARRIED,M,0,Nkhotakota,,MATURE,BAGI,Employed,,,,,,Not Dropped
No,No,MARRIED,M,0,Mulanje,,MATURE,BAGI,Employed,,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,MARRIED,M,0,Chikwawa,,MATURE,BABM,Employed,,,,,,Not Dropped
No,No,MARRIED,M,0,Thyolo,,MATURE,BAAE,Employed,,,,,,Not Dropped
No,No,MARRIED,M,0,Rumphi,,MATURE,BAAE,Employed,,,,,,Not Dropped
No,No,MARRIED,M,0,Ntcheu,,MATURE,BEXT,Employed,,,,,,Not Dropped
No,No,MARRIED,M,0,Ntcheu,,MATURE,BEXT,Employed,,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,MARRIED,M,0,Mzimba,,MATURE,BEXT,Employed,,,,,,Not Dropped
No,No,MARRIED,M,0,Chitipa,,MATURE,BEXT,Employed,,,,,,Not Dropped
No,No,MARRIED,M,0,Rumphi,,MATURE,BEXT,Employed,,,,,,Not Dropped
No,No,MARRIED,M,0,Ntcheu,,MATURE,BEXT,Employed,,,,,,Not Dropped
No,No,MARRIED,M,0,Mzimba,,MATURE,BEXT,Employed,,No disability,Not Applicable,self,I stay around the centre,Not Dropped
No,No,MARRIED,M,0,Mulanje,,MATURE,BAGI,Employed,,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,MARRIED,M,0,Rumphi,,MATURE,BAGI,Employed,,,,,,Not Dropped
No,No,MARRIED,M,0,Dedza,,GENERIC,BEXT,Employed,,,,,,Not Dropped
No,No,MARRIED,M,0,Mzimba,,GENERIC,BAAE,Employed,,No disability,"Qualified primary school teachers, teaching at CDSS",self,I stay within same district,Not Dropped
No,No,MARRIED,M,0,Blantyre,,GENERIC,BEXT,Employed,,,,,,Not Dropped
No,No,MARRIED,M,0,Ntchisi,,GENERIC,BAAE,Employed,,,,,,Not Dropped
No,No,MARRIED,M,0,Rumphi,,MATURE,BEXT,Employed,,,,,,Not Dropped
No,No,MARRIED,M,0,Mzimba,,MATURE,BABM,Employed,,,,,,Not Dropped
No,No,MARRIED,M,0,Ntchisi,,MATURE,BEXT,Employed,,,,,,Not Dropped
No,No,MARRIED,M,0,Mzimba,,MATURE,BABM,Employed,,,,,,Not Dropped
No,No,MARRIED,M,0,CHILADZULU,,MATURE,BAAE,Employed,,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,MARRIED,M,0,CHILADZULU,,MATURE,BAGI,Employed,,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,MARRIED,M,0,Kasungu,,MATURE,BEXT,Employed,,,,,,Not Dropped
No,No,MARRIED,M,0,Lilongwe,,MATURE,BAGI,Employed,,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,MARRIED,M,0,Ntchisi,,MATURE,BAAE,Employed,,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,MARRIED,M,0,Mzimba,,MATURE,BAAE,Employed,,,,,,Not Dropped
No,No,MARRIED,M,0,Rumphi,,MATURE,BAGI,Employed,,,,,,Not Dropped
No,No,MARRIED,M,0,Mulanje,,MATURE,BAGI,Employed,,,,,,Not Dropped
No,No,MARRIED,M,0,Dedza,,MATURE,BAGI,Employed,,,,,,Not Dropped
No,No,MARRIED,M,0,Karonga,,MATURE,BABM,Employed,,,,,,Not Dropped
No,No,MARRIED,M,0,Mchinji,,MATURE,BAAE,Employed,,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,MARRIED,M,0,Chikwawa,,MATURE,BAGI,Employed,,,,,,Not Dropped
No,No,MARRIED,M,0,Mzimba,,MATURE,BABM,Employed,,,,,,Not Dropped
No,No,MARRIED,M,0,Balaka,,MATURE,BABM,Employed,,No disability,Not Applicable,self,I stay around the centre,Not Dropped
No,No,MARRIED,M,0,Mwanza,,MATURE,BABM,Employed,,,,,,Not Dropped
No,No,MARRIED,M,0,Karonga,,MATURE,BAGI,Employed,,,,,,Not Dropped
No,No,MARRIED,M,0,Lilongwe,,MATURE,BAGI,Employed,,,,,,Not Dropped
No,No,MARRIED,M,0,Thyolo,,MATURE,BABM,Employed,,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,MARRIED,M,0,Kasungu,,MATURE,BAGI,Employed,,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,MARRIED,M,0,Kasungu,,MATURE,BAGI,Employed,,,,,,Not Dropped
No,No,MARRIED,M,0,Mchinji,,MATURE,BAAE,Employed,,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,MARRIED,M,0,Kasungu,,MATURE,BEXT,Employed,,,,,,Not Dropped
No,No,MARRIED,M,0,Balaka,,MATURE,BABM,Employed,,,,,,Not Dropped
No,No,MARRIED,M,0,Ntcheu,,MATURE,BEXT,Employed,,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,MARRIED,M,0,Mchinji,,MATURE,BABM,Employed,,No disability,Not Applicable,self,I stay around the centre,Not Dropped
No,No,MARRIED,M,0,Thyolo,,MATURE,BAGI,Employed,,,,,,Not Dropped
No,No,MARRIED,M,0,Ntchisi,,MATURE,BABM,Employed,,,,,,Not Dropped
